RecNum	DateTime	KAUST_LT_Tank1-S33.5A
259	07/27/19 03:30:00 PM	29.953
260	07/27/19 03:35:00 PM	29.953
261	07/27/19 03:40:00 PM	29.953
262	07/27/19 03:45:00 PM	29.953
263	07/27/19 03:50:00 PM	29.953
264	07/27/19 03:55:00 PM	29.953
265	07/27/19 04:00:00 PM	29.953
266	07/27/19 04:05:00 PM	29.953
267	07/27/19 04:10:00 PM	29.953
268	07/27/19 04:15:00 PM	29.953
269	07/27/19 04:20:00 PM	29.953
270	07/27/19 04:25:00 PM	29.953
271	07/27/19 04:30:00 PM	30.054
272	07/27/19 04:35:00 PM	29.752
273	07/27/19 04:40:00 PM	29.752
274	07/27/19 04:45:00 PM	29.953
275	07/27/19 04:50:00 PM	30.054
276	07/27/19 04:55:00 PM	29.853
277	07/27/19 05:00:00 PM	29.752
278	07/27/19 05:05:00 PM	29.652
279	07/27/19 05:10:00 PM	29.552
280	07/27/19 05:15:00 PM	29.452
281	07/27/19 05:20:00 PM	29.452
282	07/27/19 05:25:00 PM	29.552
283	07/27/19 05:30:00 PM	29.652
284	07/27/19 05:35:00 PM	29.652
285	07/27/19 05:40:00 PM	29.652
286	07/27/19 05:45:00 PM	29.652
287	07/27/19 05:50:00 PM	29.552
288	07/27/19 05:55:00 PM	29.552
289	07/27/19 06:00:00 PM	29.552
290	07/27/19 06:05:00 PM	29.652
291	07/27/19 06:10:00 PM	29.752
292	07/27/19 06:15:00 PM	29.752
293	07/27/19 06:20:00 PM	29.752
294	07/27/19 06:25:00 PM	29.752
295	07/27/19 06:30:00 PM	29.652
296	07/27/19 06:35:00 PM	29.552
297	07/27/19 06:40:00 PM	29.552
298	07/27/19 06:45:00 PM	29.552
299	07/27/19 06:50:00 PM	29.552
300	07/27/19 06:55:00 PM	29.652
301	07/27/19 07:00:00 PM	29.953
302	07/27/19 07:05:00 PM	30.154
303	07/27/19 07:10:00 PM	30.356
304	07/27/19 07:15:00 PM	30.558
305	07/27/19 07:20:00 PM	30.760
306	07/27/19 07:25:00 PM	30.963
307	07/27/19 07:30:00 PM	31.166
308	07/27/19 07:35:00 PM	31.370
309	07/27/19 07:40:00 PM	31.472
310	07/27/19 07:45:00 PM	31.676
311	07/27/19 07:50:00 PM	31.880
312	07/27/19 07:55:00 PM	32.086
313	07/27/19 08:00:00 PM	32.188
314	07/27/19 08:05:00 PM	32.394
315	07/27/19 08:10:00 PM	32.600
316	07/27/19 08:15:00 PM	32.704
317	07/27/19 08:20:00 PM	32.911
318	07/27/19 08:25:00 PM	33.014
319	07/27/19 08:30:00 PM	33.118
320	07/27/19 08:35:00 PM	33.326
321	07/27/19 08:40:00 PM	33.430
322	07/27/19 08:45:00 PM	33.639
323	07/27/19 08:50:00 PM	33.743
324	07/27/19 08:55:00 PM	33.848
325	07/27/19 09:00:00 PM	33.953
326	07/27/19 09:05:00 PM	34.163
327	07/27/19 09:10:00 PM	34.268
328	07/27/19 09:15:00 PM	34.374
329	07/27/19 09:20:00 PM	34.479
330	07/27/19 09:25:00 PM	34.585
331	07/27/19 09:30:00 PM	34.691
332	07/27/19 09:35:00 PM	34.903
333	07/27/19 09:40:00 PM	35.009
334	07/27/19 09:45:00 PM	35.115
335	07/27/19 09:50:00 PM	35.115
336	07/27/19 09:55:00 PM	35.328
337	07/27/19 10:00:00 PM	35.328
338	07/27/19 10:05:00 PM	35.435
339	07/27/19 10:10:00 PM	35.542
340	07/27/19 10:15:00 PM	35.649
341	07/27/19 10:20:00 PM	35.649
342	07/27/19 10:25:00 PM	35.649
343	07/27/19 10:30:00 PM	35.649
344	07/27/19 10:35:00 PM	35.649
345	07/27/19 10:40:00 PM	35.649
346	07/27/19 10:45:00 PM	35.756
347	07/27/19 10:50:00 PM	35.864
348	07/27/19 10:55:00 PM	35.864
349	07/27/19 11:00:00 PM	35.864
350	07/27/19 11:05:00 PM	35.864
351	07/27/19 11:10:00 PM	35.864
352	07/27/19 11:15:00 PM	35.864
353	07/27/19 11:20:00 PM	35.971
354	07/27/19 11:25:00 PM	35.971
355	07/27/19 11:30:00 PM	35.971
356	07/27/19 11:35:00 PM	35.971
357	07/27/19 11:40:00 PM	35.971
358	07/27/19 11:45:00 PM	36.079
359	07/27/19 11:50:00 PM	36.079
360	07/27/19 11:55:00 PM	36.079
361	07/28/19 12:00:00 AM	36.079
