RecNum	DateTime	KAUST_LT_Tank14-Control_32B
412	07/28/19 04:15:00 AM	30.255
413	07/28/19 04:20:00 AM	30.255
414	07/28/19 04:25:00 AM	30.255
415	07/28/19 04:30:00 AM	30.255
416	07/28/19 04:35:00 AM	30.154
417	07/28/19 04:40:00 AM	30.154
418	07/28/19 04:45:00 AM	30.255
419	07/28/19 04:50:00 AM	30.255
420	07/28/19 04:55:00 AM	30.255
421	07/28/19 05:00:00 AM	30.255
422	07/28/19 05:05:00 AM	30.154
423	07/28/19 05:10:00 AM	30.154
424	07/28/19 05:15:00 AM	30.154
425	07/28/19 05:20:00 AM	30.154
426	07/28/19 05:25:00 AM	30.154
427	07/28/19 05:30:00 AM	30.154
428	07/28/19 05:35:00 AM	30.255
429	07/28/19 05:40:00 AM	30.255
430	07/28/19 05:45:00 AM	30.255
431	07/28/19 05:50:00 AM	30.255
432	07/28/19 05:55:00 AM	30.255
433	07/28/19 06:00:00 AM	30.255
434	07/28/19 06:05:00 AM	30.154
435	07/28/19 06:10:00 AM	30.154
436	07/28/19 06:15:00 AM	30.154
437	07/28/19 06:20:00 AM	30.255
438	07/28/19 06:25:00 AM	30.255
439	07/28/19 06:30:00 AM	30.255
440	07/28/19 06:35:00 AM	30.255
441	07/28/19 06:40:00 AM	30.154
442	07/28/19 06:45:00 AM	30.154
443	07/28/19 06:50:00 AM	30.255
444	07/28/19 06:55:00 AM	30.255
445	07/28/19 07:00:00 AM	30.255
446	07/28/19 07:05:00 AM	30.255
447	07/28/19 07:10:00 AM	30.255
448	07/28/19 07:15:00 AM	30.255
449	07/28/19 07:20:00 AM	30.255
450	07/28/19 07:25:00 AM	30.154
451	07/28/19 07:30:00 AM	30.154
452	07/28/19 07:35:00 AM	30.255
453	07/28/19 07:40:00 AM	30.255
454	07/28/19 07:45:00 AM	30.255
455	07/28/19 07:50:00 AM	30.255
456	07/28/19 07:55:00 AM	30.255
457	07/28/19 08:00:00 AM	30.255
458	07/28/19 08:05:00 AM	30.255
459	07/28/19 08:10:00 AM	30.255
460	07/28/19 08:15:00 AM	30.255
461	07/28/19 08:20:00 AM	30.255
462	07/28/19 08:25:00 AM	30.154
463	07/28/19 08:30:00 AM	30.255
464	07/28/19 08:35:00 AM	30.255
465	07/28/19 08:40:00 AM	30.255
466	07/28/19 08:45:00 AM	30.154
467	07/28/19 08:50:00 AM	30.255
468	07/28/19 08:55:00 AM	30.255
469	07/28/19 09:00:00 AM	30.255
470	07/28/19 09:05:00 AM	30.255
471	07/28/19 09:10:00 AM	30.255
472	07/28/19 09:15:00 AM	30.255
473	07/28/19 09:20:00 AM	30.255
474	07/28/19 09:25:00 AM	30.255
475	07/28/19 09:30:00 AM	30.255
476	07/28/19 09:35:00 AM	30.255
477	07/28/19 09:40:00 AM	30.255
478	07/28/19 09:45:00 AM	30.255
479	07/28/19 09:50:00 AM	30.255
480	07/28/19 09:55:00 AM	30.255
481	07/28/19 10:00:00 AM	30.255
482	07/28/19 10:05:00 AM	30.255
483	07/28/19 10:10:00 AM	30.356
484	07/28/19 10:15:00 AM	30.356
485	07/28/19 10:20:00 AM	30.356
486	07/28/19 10:25:00 AM	30.356
487	07/28/19 10:30:00 AM	30.356
488	07/28/19 10:35:00 AM	30.356
489	07/28/19 10:40:00 AM	30.356
490	07/28/19 10:45:00 AM	30.356
491	07/28/19 10:50:00 AM	30.356
492	07/28/19 10:55:00 AM	30.356
493	07/28/19 11:00:00 AM	30.356
494	07/28/19 11:05:00 AM	30.356
495	07/28/19 11:10:00 AM	30.356
496	07/28/19 11:15:00 AM	30.356
497	07/28/19 11:20:00 AM	30.457
498	07/28/19 11:25:00 AM	30.457
499	07/28/19 11:30:00 AM	30.457
500	07/28/19 11:35:00 AM	30.356
501	07/28/19 11:40:00 AM	30.356
502	07/28/19 11:45:00 AM	30.356
503	07/28/19 11:50:00 AM	30.457
504	07/28/19 11:55:00 AM	30.457
505	07/28/19 12:00:00 PM	30.457
506	07/28/19 12:05:00 PM	30.457
507	07/28/19 12:10:00 PM	30.457
508	07/28/19 12:15:00 PM	30.457
509	07/28/19 12:20:00 PM	30.457
510	07/28/19 12:25:00 PM	30.457
511	07/28/19 12:30:00 PM	30.457
512	07/28/19 12:35:00 PM	30.457
513	07/28/19 12:40:00 PM	30.457
514	07/28/19 12:45:00 PM	30.457
515	07/28/19 12:50:00 PM	30.457
516	07/28/19 12:55:00 PM	30.457
517	07/28/19 01:00:00 PM	30.457
518	07/28/19 01:05:00 PM	30.457
519	07/28/19 01:10:00 PM	30.457
520	07/28/19 01:15:00 PM	30.457
521	07/28/19 01:20:00 PM	30.457
522	07/28/19 01:25:00 PM	30.457
523	07/28/19 01:30:00 PM	30.457
524	07/28/19 01:35:00 PM	30.457
